post_id,time,comments,shares,reactions,reaction_count,comments_full,hour,text
pfbid0VNW13c1vSx8MXLY5Y378v5boCdX868LDjCdQ7NWyDCYqSWDJL9K4B6kgD8vxFpi8l,2023-11-05 04:34:41,36605,7264,"{'like': 549715, 'love': 249711, 'care': 36586, 'haha': 1531, 'wow': 580, 'sad': 50, 'angry': 48}",838221,"[{'commenter_name': 'Sajib Biwas', 'commenter_id': '/mbasic.facebook.com/sajib.sajibbiswas.73', 'text': 'Very impressive!🐐\U0001faf6❤️💟', 'comment_id': '1499952374139168'}, {'commenter_name': 'कमल पोख्रेल', 'commenter_id': '/mbasic.facebook.com/kamal.pahadi.752', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1311882066198499'}, {'commenter_name': 'Tala loves you', 'commenter_id': '61550357762507', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1018445769434258'}, {'commenter_name': 'Mujammel Hosen', 'commenter_id': '/mbasic.facebook.com/smmujamel.lojo', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '674929568117471'}, {'commenter_name': 'Nahida & Nadiya vlog', 'commenter_id': '100090692960704', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1462147597691314'}, {'commenter_name': 'Siyam Ahmedd', 'commenter_id': '61550773110428', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '313974094904080'}, {'commenter_name': 'MD Rony Khan', 'commenter_id': '/mbasic.facebook.com/rony.srony.75', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1602223430313776'}, {'commenter_name': 'Alessio Zagami', 'commenter_id': '100036310122448', 'text': 'Very impressive!🐐❤️', 'comment_id': '2394879570714528'}, {'commenter_name': 'Azad Jashni', 'commenter_id': '/mbasic.facebook.com/azad.chjne.9', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '883902026785470'}, {'commenter_name': 'CR 卝SABBIR চৌধুরীヅ', 'commenter_id': '100084131231577', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '227030893573308'}]",4,"Solid win!💪🏼
We keep the pressure on!
@alnassr 💛💙"
pfbid0a5k8pgN3EDSN4RpWQSmnJExZt3gWv8cswKaHRUsj7kU2wGBTuHMhUjCuCrt9zzdgl,2023-11-04 04:37:00,42850,9519,"{'like': 597164, 'love': 277586, 'care': 48952, 'haha': 3096, 'wow': 679, 'angry': 101, 'sad': 96}",927674,"[{'commenter_name': 'MargetteIsabella', 'commenter_id': '100087424485784', 'text': 'Best of luck!', 'comment_id': '1368052177421442'}, {'commenter_name': 'RA B B I', 'commenter_id': '100052202463528', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '330327609688817'}, {'commenter_name': 'Md. Mirza Roni Beg', 'commenter_id': '/mbasic.facebook.com/mdmirzaronibeg1', 'text': 'The best player....', 'comment_id': '1522596865226309'}, {'commenter_name': '𝒮 𝓂 𝓈𝒽𝒶𝒽𝒶𝓁𝒶𝓂 𝓈𝒶𝓇𝓀𝒶𝓇', 'commenter_id': '100095093025131', 'text': 'Best of luck 🤞', 'comment_id': '3636263486588934'}, {'commenter_name': 'キム ニア', 'commenter_id': '100090816097794', 'text': 'The best of all 🎉💗', 'comment_id': '877999780620917'}, {'commenter_name': 'EVI CEE MW', 'commenter_id': '100089484941535', 'text': 'Very impressive ❣️🙌', 'comment_id': '370582208646255'}, {'commenter_name': 'Rennyblaqsix', 'commenter_id': '100076347990904', 'text': 'Very impressive ❣️🙌', 'comment_id': '1379961449298758'}, {'commenter_name': 'Rü Füs', 'commenter_id': '/mbasic.facebook.com/ru.fus.3956', 'text': 'Congrats', 'comment_id': '650702930573705'}, {'commenter_name': 'Davido Bonethugs van Wyk', 'commenter_id': '/mbasic.facebook.com/david.vanwyk.56', 'text': 'The greatest of all time\nEverything you have were earned not given', 'comment_id': '303855265922007'}, {'commenter_name': 'King Art', 'commenter_id': '100094613375933', 'text': 'King of football, goatnaldo the player of the century no one will come out like you in the football history', 'comment_id': '864306585701718'}]",4,🎯
pfbid03nE5M9QxyWBrHea8RAoJUnWDnk2gsfRCDgTkPEK8keZ1wbsLhT3i6NKd7g6Q15tzl,2023-11-03 01:50:54,4720,514,"{'like': 60695, 'love': 35697, 'care': 7376, 'haha': 144, 'wow': 100, 'sad': 18, 'angry': 13}",104043,"[{'commenter_name': 'Emely Vera', 'commenter_id': '100084848721480', 'text': 'Parabéns pela iniciativa!🤍.', 'comment_id': '331766159463189'}, {'commenter_name': 'عصام غنيم', 'commenter_id': '100064202584526', 'text': 'اللُهم لأجل أطفال آبرياء ، ونساء ضُعفاء ، ورجال لا حيلة لهُم ، كُن لهم نصيراً🇵🇸♥️', 'comment_id': '227978220301442'}, {'commenter_name': 'Euphemia Unekwu', 'commenter_id': '100088574888673', 'text': 'This is a great achievement. Congratulations', 'comment_id': '736033831876844'}, {'commenter_name': 'Md. Himel Ahammed', 'commenter_id': '/mbasic.facebook.com/hemelmax7', 'text': 'We Love This Great Man 🇵🇹❤🇧🇩', 'comment_id': '1468867900513046'}, {'commenter_name': 'Shafikul Islam', 'commenter_id': '/mbasic.facebook.com/Shafik672462', 'text': ""Not only a great foofballer but also a great human, That's why I love this man ♥️♥️♥️♥️🇧🇩🇵🇹🇵🇹🇵🇹🇵🇹\nThe man with a golden heart ❤️❤️❤️"", 'comment_id': '859224785671012'}, {'commenter_name': 'Abass Errh', 'commenter_id': '100014838281715', 'text': 'لا اعرف من سيقرأ تعليقي لكن اسأل الله ان يرزقك الجنة وحسن الخاتمة والبركة في العمر وصحة في البدن من قرأها يضع قلبا ويتابعنا♥️', 'comment_id': '292134170317015'}, {'commenter_name': 'Israt Jahan Eava', 'commenter_id': '100088784420937', 'text': 'Today is my birthday.😊\nEvery one plz pray for me.🥰', 'comment_id': '1480109132833572'}, {'commenter_name': 'Bee Kind', 'commenter_id': '100076304623934', 'text': 'Greatest ambassador of all time 🙌🏼🙌🏼🖤🖤🔥✅', 'comment_id': '669760268557783'}, {'commenter_name': 'Harendra Singh', 'commenter_id': '/mbasic.facebook.com/hsprince111', 'text': 'I’m following everyone 💯🎉✅🥰', 'comment_id': '749317270336286'}, {'commenter_name': 'Prakash Jaishi', 'commenter_id': '/mbasic.facebook.com/prakash.jaishi.73997', 'text': 'Love from Nepal 🇳🇵❤️', 'comment_id': '6821061457969915'}]",1,"Como embaixador da Liga Portuguesa Contra o Cancro, trago-vos um pedido muito especial. Ontem iniciou-se o Peditório Nacional, promovido pela LPCC.

Até dia 5 de novembro, juntem-se a nós e façam parte desta equipa! Com apenas um donativo estão a ajudar na luta contra o cancro.

Contra o cancro todos contam!

➡️ Saibam como apoiar esta causa em: www.ligacontracancro.pt/donativos

#LigaContraCancro #Peditorio #oquenosLIGA

As an ambassador of the Portuguese League Against Cancer, I bring you a very special request. Yesterday, the National Pediatrician, powered by the LPCC, started.

Until November 5th, come join us and be a part of this team! With just one donation you are helping fight cancer.

Against cancer everyone counts!

➡️ Learn how to support this cause at: www.ligacontracancro.pt/donativos

#LigaContraCancro #Peditorio #oquenosLIGA

Liga Portuguesa Contra o Cancro
25 October at 15:52 ·

Ao participar no Peditório Nacional com um donativo está a apoiar:
➡️ o doente oncológico e cuidadores;
➡️ a promoção da saúde;
➡️ a prevenção do cancro;
➡️estímulo à formação e investigação em oncologia.

Ninguém consegue fazer tudo sozinho. Junte-se à Liga Portuguesa Contra o Cancro!

Saiba como apoiar esta causa em: www.ligacontracancro.pt/donativos

#LigaContraCancro #Peditorio #oquenosLIGA

By participating in the National Pediatrician with a donation you're supporting:
➡️ the oncology patient and caregivers;
➡️ the promotion of health;
➡️ cancer prevention;
➡️ Encouragement for training and research in oncology.

No one can do it all alone. Join the Portuguese League Against Cancer!

Learn how you can support this cause at: www.ligacontracancro.pt/donativos

#LigaContraCancro #Peditorio #oquenosLIGA"
pfbid09zqZNMYnT7M4gAVt91yLBNQgejmVt7LdpDr4B5Nhg3VJpQw3qu2q1ipmaL21LoVMl,2023-11-01 02:53:54,44357,4005,"{'like': 479097, 'love': 216380, 'care': 28047, 'haha': 4216, 'wow': 473, 'angry': 68, 'sad': 56}",728337,"[{'commenter_name': 'ashish Kushwaha', 'commenter_id': '100088701883867', 'text': 'Very impressive!🤩❤️', 'comment_id': '285420844469628'}, {'commenter_name': 'Nahida & Nadiya vlog', 'commenter_id': '100090692960704', 'text': 'Very impressive!🤩❤️', 'comment_id': '1852189728512201'}, {'commenter_name': 'Sam sam 1', 'commenter_id': '100083716115567', 'text': 'Very impressive!🤩❤️', 'comment_id': '262191029719972'}, {'commenter_name': 'Mc Caelly', 'commenter_id': '100088686141430', 'text': 'Very impressive!🤩❤️', 'comment_id': '1716476248775914'}, {'commenter_name': 'EVI CEE MW', 'commenter_id': '100089484941535', 'text': 'Very impressive!🤩❤️', 'comment_id': '263676686664871'}, {'commenter_name': 'Noor Shahenshaha', 'commenter_id': '/mbasic.facebook.com/noorshahenshaha', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '847259533528064'}, {'commenter_name': 'Mohammad Abu Sufian', 'commenter_id': '/mbasic.facebook.com/Mohammad.Abu.Sufian8', 'text': 'Good Luck #CR7 ❤️🌹', 'comment_id': '864009831855803'}, {'commenter_name': ""A'sum Lv-k"", 'commenter_id': '/mbasic.facebook.com/samlaivangkham', 'text': 'Very impressive!🤩❤️', 'comment_id': '1719788931857059'}, {'commenter_name': 'Dr Ruhi Rayeen', 'commenter_id': '/mbasic.facebook.com/ruhirayeen0', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '998092067963027'}, {'commenter_name': 'Bhäd Kämzëë', 'commenter_id': '/mbasic.facebook.com/bhadkamzee', 'text': 'Very impressive!🤩❤️', 'comment_id': '670698501537446'}]",2,"Amazing spirit from the Team!💪🏽
Incredible support from our fans that helped us to fight until the end!🙌🏼
@alnassr 💛💙"
pfbid02AJXduxv7R9S8sjRm9d38V2BVW7SX568RkCxWLS51ft9s4sXoHq4oZD4SQ4AekZKMl,2023-10-29 01:02:35,28008,4564,"{'like': 483662, 'love': 221916, 'care': 30792, 'haha': 1120, 'wow': 422, 'sad': 54, 'angry': 54}",738020,"[{'commenter_name': 'Dr Ruhi Rayeen', 'commenter_id': '/mbasic.facebook.com/ruhirayeen0', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '994847404928580'}, {'commenter_name': 'Sam sam 1', 'commenter_id': '100083716115567', 'text': 'Very impressive!🤩❤️', 'comment_id': '346663077935299'}, {'commenter_name': 'Nguyễn Thị Chi', 'commenter_id': '/mbasic.facebook.com/nguyenthichii', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '1985374088515755'}, {'commenter_name': ""A'sum Lv-k"", 'commenter_id': '/mbasic.facebook.com/samlaivangkham', 'text': 'Very impressive🐐\U0001faf6😘', 'comment_id': '2557164721128448'}, {'commenter_name': 'S A Rahman', 'commenter_id': '/mbasic.facebook.com/mdabdurrahman.sekul', 'text': 'Very impressive🐐\U0001faf6❤️🥀', 'comment_id': '2028346020857926'}, {'commenter_name': 'Saidul Molla', 'commenter_id': '/mbasic.facebook.com/SAIDUL.ofcl', 'text': 'Always love you CR7🥰❤️', 'comment_id': '1578463462686020'}, {'commenter_name': 'Bhäd Kämzëë', 'commenter_id': '/mbasic.facebook.com/bhadkamzee', 'text': 'Very impressive🐐\U0001faf6❤️', 'comment_id': '897803894528634'}, {'commenter_name': 'Adiyan Raj', 'commenter_id': '100093065241239', 'text': 'The real hero cr7 ❤️🌹🥰', 'comment_id': '372462071787776'}, {'commenter_name': 'Ro Joy', 'commenter_id': '100081587067788', 'text': 'Fantastic performance', 'comment_id': '857148269191846'}, {'commenter_name': 'MI Hridoy', 'commenter_id': '100079256537444', 'text': 'Very impressive 🖤🐐', 'comment_id': '914262057083446'}]",1,"Another win, important we keep the momentum!
Well done team!💪🏼
@alnassr 💛💙"
pfbid024XUMUBPZBC5zL8uYktND1naVFXFwrmaN4KFK52g7Fy4A6mm7Eog6q2EHG6BX27nXl,2023-10-25 04:42:20,60299,12392,"{'like': 677226, 'love': 336425, 'care': 50093, 'haha': 1363, 'wow': 776, 'sad': 65, 'angry': 65}",1066013,"[{'commenter_name': 'Rio Ferdinand', 'commenter_id': '/mbasic.facebook.com/RioFerdinandOfficial', 'text': '🐐', 'comment_id': '845924650650542'}, {'commenter_name': 'MD Jahid Hasan Limon', 'commenter_id': '100078067647403', 'text': 'Congratulations Boss CR7 🇵🇹', 'comment_id': '1049226956208690'}, {'commenter_name': 'Anondo X Ten', 'commenter_id': '100085283075929', 'text': 'Congratulations CR7❤️', 'comment_id': '349525997536944'}, {'commenter_name': 'Shohag Vai', 'commenter_id': '/mbasic.facebook.com/shohag.vai.794', 'text': 'Congratulations legend', 'comment_id': '332166929502077'}, {'commenter_name': 'Omukukunavu kaka/comedian', 'commenter_id': '/mbasic.facebook.com/OMUKUKUNAV.COMEDIAN', 'text': 'Congratulations 👏🎉', 'comment_id': '903005127908787'}, {'commenter_name': 'Razendra Gurung', 'commenter_id': '/mbasic.facebook.com/rajendrraa7', 'text': 'Congratulations king ❤️❤️', 'comment_id': '6676453335735580'}, {'commenter_name': 'Big Castro', 'commenter_id': '100085167278037', 'text': 'Congratulations ❤', 'comment_id': '627140856023073'}, {'commenter_name': 'Abdullah Al Mamun', 'commenter_id': '100004221468657', 'text': 'Congratulations', 'comment_id': '866858468394875'}, {'commenter_name': 'Abdul Khaleque', 'commenter_id': '100005631619249', 'text': 'Love & respect all time boss🙏🙏🙏', 'comment_id': '134908213047022'}, {'commenter_name': 'Shakhawat Hossain Feni', 'commenter_id': '/mbasic.facebook.com/SakhawatHossain20', 'text': 'Congratulations ❤️❤️', 'comment_id': '2463403447161246'}]",4,"Special night in Riyadh - 3 wins out of 3 - and top of the group!💛💙
#ACL
Happy 68 years to @alnassr 🙌🏻"
pfbid0KeYGF2ZkM4bG6wvZRGnTqGf6cGNAsat2g9CMUom1yUhhGGSSq398G9qFuDcpzVEPl,2023-10-23 22:45:56,22886,4090,"{'like': 363441, 'love': 159404, 'care': 19110, 'haha': 656, 'wow': 609, 'angry': 195, 'sad': 89}",543504,"[{'commenter_name': 'MD Rony Khan', 'commenter_id': '/mbasic.facebook.com/rony.srony.75', 'text': ""You're great CR7👌👌❤️❤️🖤🖤"", 'comment_id': '277277141958673'}, {'commenter_name': 'Šhähîñ Æhmèđ', 'commenter_id': '100038422823441', 'text': ""Take love from heart, you're great CR7. May Allah bless you"", 'comment_id': '991002995311892'}, {'commenter_name': 'Petit Cfa Croate', 'commenter_id': '100086929446415', 'text': ""You're great CR7👌👌❤️❤️🖤🖤"", 'comment_id': '1667872903700438'}, {'commenter_name': 'Kha Mahasha', 'commenter_id': '/mbasic.facebook.com/kha.mahasha.12', 'text': ""You're great CR7👌👌❤️❤️🖤🖤"", 'comment_id': '1781720148924308'}, {'commenter_name': 'El Sayed El Vehkm', 'commenter_id': '/mbasic.facebook.com/abobdran.apopdran', 'text': 'سَلَامٌ عَلَىَ غَـزَةَ ، بِمَاَ فِيِهَاَ ، بِمَن فِيِهَاَ ، بِكُلِّ مَاَ فِيِهَاَ.❤️،🇵🇸 عااااشت فلسطين حره 🇵🇸', 'comment_id': '1284653662244302'}, {'commenter_name': 'Myriam Makeba Moundé', 'commenter_id': '61551785739852', 'text': 'congrats champ', 'comment_id': '867815848348008'}, {'commenter_name': 'Mc Fatboy Cfr', 'commenter_id': '100069137090488', 'text': 'Congratulations 🎉', 'comment_id': '654850570166469'}, {'commenter_name': 'Fahim Reza', 'commenter_id': '/mbasic.facebook.com/mdhrithikreza.fahim.3', 'text': 'Congratulations 👏', 'comment_id': '290261557261132'}, {'commenter_name': 'صنــم جــاوید', 'commenter_id': '100075871717189', 'text': 'سَلَامٌ عَلَىَ غَـزَةَ ، بِمَاَ فِيِهَاَ ، بِمَن فِيِهَاَ ، بِكُلِّ مَاَ فِيِهَاَ.❤️،🇵🇸 عااااشت فلسطين حره 🇵🇸', 'comment_id': '1541981033221120'}, {'commenter_name': 'Muhammad Rafiq', 'commenter_id': '100011424637628', 'text': 'Once a legend said ""Saudi Arabia is going be the next Europe"" and looks like he\'s on that route', 'comment_id': '885033259300406'}]",22,An honour to meet again with His Royal Highness Prince Mohammed bin Salman and great to be part of this panel today discussing the future of esports and the launch of the first ever #esportsworldcup that will be held in Saudi Arabia next year!
pfbid0q36Dd2q2VpTsasDXsRMFuYo54bn7sxkUH9bofA4ZBPDsDok7kgzPeGq19Mo7ZvzHl,2023-10-22 01:07:47,47027,11742,"{'like': 611577, 'love': 299203, 'care': 49039, 'haha': 1154, 'wow': 691, 'sad': 74, 'angry': 64}",961802,"[{'commenter_name': 'Cristiano Ronaldo fans ll', 'commenter_id': '100093361339167', 'text': 'Very impressive!🤩❤️', 'comment_id': '866386278004572'}, {'commenter_name': 'Turkana Gossip Room', 'commenter_id': '/mbasic.facebook.com/YOUNGLEEWIZZY', 'text': 'I love this post. I showed this post to my family & they also loved this post.we bought a projector & showed this post to the whole neighborhood & they also loved this post. Our lives have changed because of this post. We are grateful to you. Thank you so much.', 'comment_id': '341269208480639'}, {'commenter_name': 'Banskhali24.com', 'commenter_id': '100070284188493', 'text': 'Very impressive!🤩❤️', 'comment_id': '739574674853239'}, {'commenter_name': 'عباس فاظل', 'commenter_id': '100008509860447', 'text': 'Very impressive!🤩❤️', 'comment_id': '239592982445537'}, {'commenter_name': 'Wanga olws kagunda', 'commenter_id': '/mbasic.facebook.com/Nyopelee', 'text': 'Very impressive!🤩❤️', 'comment_id': '711842080813035'}, {'commenter_name': 'Zakaay Akhii Leewaye', 'commenter_id': '/mbasic.facebook.com/siyat.dubow', 'text': 'One thing I love most about Ronaldo is his haters makes him more popular instead of bringing him down.', 'comment_id': '1082717983149836'}, {'commenter_name': 'Collo Rontchan Koech', 'commenter_id': '/mbasic.facebook.com/collinz.koech.589', 'text': 'Suuui.👀All time Goat ....The Best 🥰', 'comment_id': '1046225386514810'}, {'commenter_name': 'Purushuttam Gaire', 'commenter_id': '/mbasic.facebook.com/gaire.purushottam', 'text': 'Love from Nepal 🇳🇵❤️\n\n#cr7 #GOAT', 'comment_id': '1068806307464378'}, {'commenter_name': 'Samuel Phiri', 'commenter_id': '/mbasic.facebook.com/sam.phiri.5492', 'text': 'Super talented...#GOAT🔥', 'comment_id': '706809578022637'}, {'commenter_name': 'Dr.kamil Mohammadi', 'commenter_id': '100064087777874', 'text': 'Good luck hero', 'comment_id': '24519682420979326'}]",1,"Incredible atmosphere in the stadium tonight!
Happy with the win and we keep working hard every game.
Thank you to the fans for such a lovely tribute also!💙💛"
pfbid0XgW2K3SHiQFBcyv5S3Mt69p5dBmtc72aE7rsXX9H8F88EXsBuvT9iZTWoK1g2BBLl,2023-10-19 23:47:18,18670,3382,"{'like': 211565, 'love': 154433, 'care': 27778, 'haha': 503, 'wow': 292, 'sad': 35, 'angry': 27}",394633,"[{'commenter_name': 'Rëål Ünįqüë\U000f188f', 'commenter_id': '/mbasic.facebook.com/uniqueofficial001', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '698661172191030'}, {'commenter_name': 'Noor Shahenshaha', 'commenter_id': '/mbasic.facebook.com/noorshahenshaha', 'text': 'Very impressive🐐 \U0001faf6❤️', 'comment_id': '186149831131935'}, {'commenter_name': 'EVI CEE MW', 'commenter_id': '100089484941535', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '205675875814186'}, {'commenter_name': 'Jafor Kholifa', 'commenter_id': '/mbasic.facebook.com/tawsiffahmed663', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '857156342464007'}, {'commenter_name': 'Abdullah Al Mamun', 'commenter_id': '100004221468657', 'text': 'Very impressive!❤️', 'comment_id': '852552863179671'}, {'commenter_name': 'Sehnaaz Kaur', 'commenter_id': '61550098505130', 'text': 'Very Impressive Sir 💫', 'comment_id': '7137468932979316'}, {'commenter_name': 'Akhter Nawaz', 'commenter_id': '/mbasic.facebook.com/akhter.nawaz.9889', 'text': 'You deserve it legend 🔥✅', 'comment_id': '1035477287490870'}, {'commenter_name': 'Rakib Hoshein Morol', 'commenter_id': '/mbasic.facebook.com/raj.hussain.roke.official', 'text': 'legend you deserve it 🇧🇩✌️', 'comment_id': '828885622577277'}, {'commenter_name': 'Hyshawooff Furrbabies', 'commenter_id': '/mbasic.facebook.com/hyshawoof', 'text': 'Congrats 🎉', 'comment_id': '317910987642729'}, {'commenter_name': 'Askyia Nja', 'commenter_id': '100088463559101', 'text': 'Is so great bro', 'comment_id': '2004322979960821'}]",23,"Thank you Team!🙌🏼
💙💛نادي النصر السعودي - AlNassr Saudi Club

‎نادي النصر السعودي - AlNassr Saudi Club‎
19 October at 22:59 ·

🎬 نجومنا قرروا مفاجأة زميلهم نجم #النصر كريستيانو رونالدو والاحتفاء بأرقامه القياسية 🤩

A surprise awaits Cristiano Ronaldo from his teammates 🤩
Celebrating another record-breaking 🐐

🎬 Our stars decided to surprise their fellow #AlNasr star Cristiano Ronaldo and celebrate his record-breaking figures 🤩

A surprise awaits Cristiano Ronaldo from his teammates 🤩
Celebrating another record-breaking 🐐"
pfbid021twfFE96QttvgUR9WL4rnfR3xp7QBFHrXZUdhYYHMzmGTwu7b9GMhZJzM3GTqPwl,2023-10-17 04:21:24,54851,10175,"{'like': 569196, 'love': 288494, 'care': 42971, 'haha': 1068, 'wow': 557, 'angry': 67, 'sad': 62}",902415,"[{'commenter_name': 'Wanga olws kagunda', 'commenter_id': '/mbasic.facebook.com/Nyopelee', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '3667255140220946'}, {'commenter_name': 'محمود بن هاني', 'commenter_id': '100056333415023', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '650686470530684'}, {'commenter_name': 'Anil Singh Saud', 'commenter_id': '100049498446423', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '853615236220680'}, {'commenter_name': 'Fï R Õz', 'commenter_id': '/mbasic.facebook.com/mdfiroz.ali.1420354', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '347195968006045'}, {'commenter_name': 'Hridoy Mahmud Rohan', 'commenter_id': '100077385103456', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '3566390630293245'}, {'commenter_name': 'Møhãmmâd Røkïbûl Ißläm', 'commenter_id': '/mbasic.facebook.com/mohammadrokibul.islam.5', 'text': 'Very impressive!\U0001faf6❤️', 'comment_id': '3722141671334503'}, {'commenter_name': 'Saiful Islam Ashiq', 'commenter_id': '/mbasic.facebook.com/saifulislam.ashiq.143', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1474262776696784'}, {'commenter_name': 'MD Rony Khan', 'commenter_id': '/mbasic.facebook.com/rony.srony.75', 'text': 'Very impressive!🐐\U0001faf6❤️', 'comment_id': '1256529495034686'}, {'commenter_name': 'Benjamin Ngozi', 'commenter_id': '/mbasic.facebook.com/vawulence204', 'text': 'Um ídolo! Obrigado!🥰💖❤️', 'comment_id': '2006320386416789'}, {'commenter_name': 'Irshad Bettani', 'commenter_id': '100011611741232', 'text': 'Um ídolo! Obrigada!❤️', 'comment_id': '1522098881938680'}]",4,"Mais uma vitória e um bom jogo de toda a equipa!
Primeiro lugar do grupo garantido!
Seguimos fortes!💪🏼🇵🇹#vesteabandeira

Another win and a good game by the whole team!
First place in the group guaranteed!
We are still going strong! 💪🏼🇵🇹 #carrytheflag"
